Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdata_1[31:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdisperr_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxnotintable_1[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,HEX
525,525,0,0000,716b6813,0,0
526,526,0,0000,d21a277b,0,0
527,527,0,0000,6cc6ed5e,0,0
528,528,0,0000,7b7f6b95,0,0
529,529,0,0000,5c0a1a03,0,0
530,530,0,0000,b38cc83d,0,0
531,531,0,0000,fef9aa2b,0,0
532,532,0,0000,19780414,0,0
533,533,0,0000,f5615610,0,0
534,534,0,0000,81983f44,0,0
535,535,0,0000,10ea0753,0,0
536,536,0,0000,4609617c,0,0
537,537,0,0000,7bb19437,0,0
538,538,0,0000,54d219a7,0,0
539,539,0,0000,1d6cfaed,0,0
540,540,0,0000,a3714f68,0,0
541,541,0,0000,bedcca25,0,0
542,542,0,0000,17b986cb,0,0
543,543,0,0000,27757196,0,0
544,544,0,0000,ef86d23e,0,0
545,545,0,0000,4d756216,0,0
546,546,0,0000,e781ae3f,0,0
547,547,0,0000,ec195204,0,0
548,548,0,0000,74f96954,0,0
549,549,0,0000,91723817,0,0
550,550,0,0000,56e3662f,0,0
551,551,0,0000,3db8f54b,0,0
552,552,0,0000,2f638d90,0,0
553,553,0,0000,49bee34a,0,0
554,554,0,0000,be1db585,0,0
555,555,0,0000,1dad854d,0,0
556,556,0,0000,a9654cee,0,0
557,557,0,0000,30ccf75d,0,0
558,558,0,0000,c8f3a3a8,0,0
559,559,0,0000,a2f3b028,0,0
560,560,0,0000,aaf4cc29,0,0
561,561,0,0000,0b98fc3b,0,0
562,562,0,0000,98e03b50,0,0
563,563,0,0000,e58b5143,0,0
564,564,0,0000,c7915e38,0,0
565,565,0,0000,6b5b9364,0,0
566,566,0,0000,12db78db,0,0
567,567,0,0000,66dd6eda,0,0
568,568,0,0000,f7a356cf,0,0
569,569,0,0000,a3b030c8,0,0
570,570,0,0000,b4c8c9a3,0,0
571,571,0,0000,99a9bbb3,0,0
572,572,0,0000,f83f54f5,0,0
573,573,0,0000,6a001380,0,0
574,574,0,0000,08077c01,0,0
575,575,0,0000,a16c3012,0,0
576,576,0,0000,9378c76b,0,0
577,577,0,0000,7d6b6a13,0,0
578,578,0,0000,221a0f7b,0,0
579,579,0,0000,accacd5c,0,0
580,580,0,0000,7980ebbf,0,0
581,581,0,0000,74061601,0,0
582,582,0,0000,917e3815,0,0
583,583,0,0000,54136607,0,0
584,584,0,0000,1778f96b,0,0
585,585,0,0000,2d617210,0,0
586,586,0,0000,6196ef46,0,0
587,587,0,0000,923f4775,0,0
588,588,0,0000,62076f81,0,0
589,589,0,0000,a96b4c13,0,0
590,590,0,0000,3214f779,0,0
591,591,0,0000,ee13ad78,0,0
592,592,0,0000,5f716568,0,0
593,593,0,0000,8ed0c227,0,0
594,594,0,0000,d54a26e3,0,0
595,595,0,0000,0d86fdbe,0,0
596,596,0,0000,e5782e14,0,0
597,597,0,0000,c56d5e12,0,0
598,598,0,0000,436b9f6c,0,0
599,599,0,0000,3a198b7b,0,0
600,600,0,0000,4cf79d56,0,0
601,601,0,0000,f3a9a833,0,0
602,602,0,0000,f03828f4,0,0
603,603,0,0000,cb6c2392,0,0
604,604,0,0000,9b7fbb6a,0,0
605,605,0,0000,dc075a01,0,0
606,606,0,0000,b162c810,0,0
607,607,0,0000,d1a1a74f,0,0
608,608,0,0000,5b9ae4c4,0,0
609,609,0,0000,d8ccdb5d,0,0
610,610,0,0000,e8fed3aa,0,0
611,611,0,0000,20157006,0,0
612,612,0,0000,8606c17e,0,0
613,613,0,0000,79721417,0,0
614,614,0,0000,76ee162d,0,0
615,615,0,0000,bf5e3565,0,0
616,616,0,0000,039180c7,0,0
617,617,0,0000,3b540b66,0,0
618,618,0,0000,501398f8,0,0
619,619,0,0000,4778e16b,0,0
620,620,0,0000,6d659211,0,0
621,621,0,0000,60c36f5f,0,0
622,622,0,0000,8a3b438b,0,0
623,623,0,0000,83563f99,0,0
624,624,0,0000,303208f7,0,0
625,625,0,0000,c8eba3ac,0,0
626,626,0,0000,a613b178,0,0
