Sample in Buffer,Sample in Window,TRIGGER,sysref,tx_ready,tx_data[127:0],rx_sync_0_OBUF,tx_sync_0_IBUF,rx_valid_1,locked,rst_204,rx_valid,rx_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
235,235,0,1,1,c6925174c6925175c6925176c6925177,0,1,0,1,0,0,00000000000000000000000000000000
236,236,0,1,1,c6925175c6925176c6925177c6925178,0,1,0,1,0,0,00000000000000000000000000000000
237,237,0,1,1,c6925176c6925177c6925178c6925179,0,1,0,1,0,0,00000000000000000000000000000000
238,238,0,1,1,c6925177c6925178c6925179c692517a,0,1,0,1,0,0,00000000000000000000000000000000
239,239,0,1,1,c6925178c6925179c692517ac692517b,0,1,0,1,0,0,00000000000000000000000000000000
240,240,0,1,1,c6925179c692517ac692517bc692517c,0,1,0,1,0,0,00000000000000000000000000000000
241,241,0,1,1,c692517ac692517bc692517cc692517d,0,1,0,1,0,0,00000000000000000000000000000000
242,242,0,1,1,c692517bc692517cc692517dc692517e,0,1,0,1,0,0,00000000000000000000000000000000
243,243,0,1,1,c692517cc692517dc692517ec692517f,0,1,0,1,0,0,00000000000000000000000000000000
244,244,0,1,1,c692517dc692517ec692517fc6925180,0,1,0,1,0,0,00000000000000000000000000000000
245,245,0,1,1,c692517ec692517fc6925180c6925181,0,1,0,1,0,0,00000000000000000000000000000000
246,246,0,1,1,c692517fc6925180c6925181c6925182,0,1,0,1,0,0,00000000000000000000000000000000
247,247,0,1,1,c6925180c6925181c6925182c6925183,0,1,0,1,0,0,00000000000000000000000000000000
